Day,Workout,Sets/Reps,Duration,Calories
Monday,"Chest & Triceps: Push-ups",3 x 15,30 min,200
Monday,"Chest & Triceps: Bench Press",4 x 10,30 min,250
Monday,"Chest & Triceps: Tricep Dips",3 x 12,15 min,120
Tuesday,"Cardio: Running (Outdoor/Treadmill)",-,40 min,350
Tuesday,"Core: Plank",3 x 60 sec,10 min,80
Wednesday,"Back & Biceps: Pull-ups",3 x 8,20 min,180
Wednesday,"Back & Biceps: Dumbbell Rows",4 x 12,25 min,200
Wednesday,"Back & Biceps: Bicep Curls",3 x 15,15 min,120
Thursday,"Legs: Squats",4 x 12,25 min,220
Thursday,"Legs: Lunges",3 x 12 each leg,20 min,180
Thursday,"Legs: Calf Raises",3 x 20,15 min,100
Friday,"Cardio: Cycling",-,45 min,400
Friday,"Core: Russian Twists",3 x 20,15 min,100
Saturday,"HIIT Circuit (Burpees, Jumping Jacks, Mountain Climbers)",4 rounds,30 min,350
Saturday,"Yoga & Stretching",-,30 min,120
Sunday,"Active Rest: Light Walk",-,20 min,80
Sunday,"Rest",-,0 min,0
